PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
149,O,3,9,R,-37,Pass,Incomplete,,,L,,,,4,0
150,S,,,,,,,,,,,,,4,
151,K,4,9,R,-37,Punt,Return,,,,,,,4,
152,D,1,10,L,-37,Run,Rush,Wyoming brown,,R,,,,4,3
153,D,2,7,M,-40,Pass,Penalty,Wyoming brown,,R,,,,4,-15
154,S,,,,,,,,,,,,,4,
155,D,2,22,R,-25,Pass,Complete,,,L,,,,4,13
156,D,3,9,M,-38,Pass,Incomplete,,,L,,,,4,0
157,D,1,10,M,-38,Pass,Penalty,,,L,,,,4,30
158,D,1,10,R,32,,Penalty,IOWA BLACK,,,,,,4,-5
159,D,2,15,R,37,Run,Rush,,,R,,,,4,9
160,D,3,6,R,28,Run,Penalty,,,R,,,,4,-3
161,D,3,9,R,31,Pass,Incomplete,,,L,,,,4,0
162,D,4,10,L,31,Pass,Complete,,,L,,,,4,45
163,O,2,55,R,-24,Run,Rush,,,R,,,,4,6
164,O,2,4,R,-30,Run,Rush,,,L,,,,4,4
