PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,OFF FORM,OFF PLAY,PLAY DIR,DEF FRONT,COVERAGE,BLITZ,QTR,GN/LS
46,O,1,10,R,-38,Run,Rush,WISCONSIN RED,,L,,,,2,11
47,O,1,10,L,-49,Run,Rush,Wyoming brown,ISO RIGHT,L,,,,2,31
48,O,1,10,L,20,Run,Fumble,Twins Split,,L,,,,2,0
49,D,1,10,R,-25,Run,Rush,IOWA BLACK,,L,,,,2,1
50,D,2,9,R,-26,Run,Rush,IOWA BLACK,,L,,,,2,-5
51,D,3,14,R,-21,Run,Rush,IOWA BLACK,,L,,,,2,-3
52,K,4,17,M,-18,Punt Rec,Return,,,,,,,2,
53,O,1,10,R,47,Run,Penalty,,,R,,,,2,-10
54,S,,,,,,,,,,,,,2,
55,S,,,,,,,,,,,,,2,
56,O,1,20,R,-43,Pass,Incomplete,WISCONSIN RED,,R,,,,2,0
57,O,2,20,R,-43,Run,Rush,IOWA BLACK,,R,,,,2,12
58,O,3,8,R,45,Run,Rush,FLA. BLUE,,R,,,,2,16
59,O,1,10,R,29,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
60,O,2,10,R,29,Run,Rush,FLA. BLUE,,L,,,,2,-3
61,O,3,13,L,32,Run,Rush,FLA. BLUE,,L,,,,2,13
62,O,1,10,L,19,,Penalty,FLA. BLUE,,,,,,2,-10
63,O,1,20,L,29,Run,Rush,IOWA BLACK,,L,,,,2,6
64,O,2,14,L,23,Pass,Incomplete,IOWA BLACK,,R,,,,2,0
65,O,3,14,L,23,Pass,Incomplete,FLA. BLUE,,R,,,,2,0
66,K,4,14,R,-40,KO,Fumble,,,,,,,3,
67,O,1,10,L,23,Run,Rush,Twins Split,,L,,,,3,-3
68,O,2,13,L,26,Pass,"Complete, TD",,,R,,,,3,26
69,K,,,M,3,Extra Pt.,Good,,,,,,,3,
70,K,,,M,-40,KO,Return,,,,,,,3,
71,D,1,10,R,-32,Pass,Complete,IOWA BLACK,,L,,,,3,2
72,D,2,8,L,-34,Run,Rush,IOWA BLACK,,R,,,,3,15
73,D,1,10,R,-49,Pass,Incomplete,IOWA BLACK,,R,,,,3,0
74,D,2,10,R,-49,,Penalty,IOWA BLACK,,,,,,3,-5
75,D,2,15,R,-44,,Penalty,IOWA BLACK,,,,,,3,-5
76,D,2,20,R,-39,Run,Rush,IOWA BLACK,,R,,,,3,-2
77,D,3,22,R,-37,Run,Rush,IOWA BLACK,,R,,,,3,19
78,D,4,3,R,44,Run,Rush,UTAH RED,,R,,,,3,-2
79,S,,,,,,,,,,,,,3,
80,O,1,10,L,-42,Run,Rush,UTAH RED,,L,,,,3,9
81,O,2,1,L,49,Run,Rush,,,L,,,,3,-6
82,O,3,7,L,-45,Pass,Penalty,IOWA BLACK,,L,,,,3,5
83,O,4,2,L,50,Run,Rush,,,R,,,,3,2
84,S,,,,,,,,,,,,,3,
85,O,1,10,R,48,Run,Rush,Twins Split,,R,,,,3,0
86,O,2,10,R,48,Run,Rush,Twins Split,,L,,,,3,0
87,O,3,10,M,48,Pass,Complete,FLA. BLUE,,R,,,,3,-4
88,O,1,10,R,-48,,Penalty,IOWA BLACK,,,,,,3,-5
89,O,1,15,R,-43,Run,Rush,IOWA BLACK,,R,,,,3,5
90,O,2,10,R,-48,Pass,Incomplete,IOWA BLACK,,L,,,,3,0
91,O,3,10,R,-48,Pass,Incomplete,IOWA BLACK,,L,,,,3,0
92,K,4,10,R,-48,Punt,Downed,,,,,,,3,
93,D,1,10,L,-26,Pass,Complete,IOWA BLACK,,R,,,,3,13
94,D,1,10,R,-39,Run,Rush,IOWA BLACK,,R,,,,3,-8
95,D,2,18,R,-31,Run,Penalty,IOWA BLACK,,R,,,,3,-10
96,D,2,28,R,-21,Pass,Complete,IOWA BLACK,,R,,,,3,21
97,D,3,7,R,-42,,Penalty,,,,,,,3,-5
98,D,3,12,R,-37,Run,Penalty,TEXAS BROWN,,R,,,,3,0
99,S,,,,,,,,,,,,,3,
100,S,,,,,,,,,,,,,3,
101,D,4,12,R,-37,Pass,Incomplete,TEXAS BROWN,,L,,,,4,0
102,O,1,10,L,37,Run,Fumble,Wyoming brown,,R,,,,4,4
103,O,2,6,L,33,Run,Rush,WYOMING GOLD,DUO LEFT,L,,,,4,17
104,O,1,10,L,16,Run,Rush,Twins Split,,L,,,,4,0
105,O,2,10,L,16,Run,Rush,Twins Split,,R,,,,4,1
106,O,3,9,M,15,Pass,Incomplete,Twins Split,,R,,,,4,0
107,O,4,9,M,15,Run,Rush,FLA. BLUE,,R,,,,4,1
108,D,1,10,R,-16,Run,Rush,IOWA BLACK,,L,,,,4,-1
109,D,2,11,M,-15,Run,Rush,IOWA BLACK,,R,,,,4,-10
110,S,,,,,,,IOWA BLACK,,,,,,4,
111,D,3,21,M,-5,Run,Safety,IOWA BLACK,,L,,,,4,0
112,K,4,,M,-40,KO,Return,,,,,,,4,
113,O,1,10,L,2,Run,"Rush, TD",Twins Split,,R,,,,4,2
114,K,,,M,3,Extra Pt.,Good,,,,,,,4,
115,S,,,,,,,,,,,,,4,
116,K,,,M,-40,KO,Return,,,,,,,4,
117,D,1,10,M,-20,Pass,Incomplete,IOWA BLACK,,R,,,,4,0
118,D,2,10,M,-20,Pass,Interception,IOWA BLACK,,R,,,,4,0
119,O,1,10,M,31,Run,Rush,Twins Split,,R,,,,4,0
120,O,2,10,R,31,,Penalty,DBL Slot,,,,,,4,5
121,O,2,5,R,26,Run,Penalty,Twins Split,,R,,,,4,-9
122,S,2,14,,,,,,,,,,,4,
123,O,2,14,R,35,Run,Penalty,Twins Split,,R,,,,4,-15
124,O,2,29,R,50,Pass,Incomplete,TEXAS BROWN,,R,,,,4,0
125,O,3,29,R,50,Pass,Incomplete,FLA. BLUE,,L,,,,4,0
126,K,4,29,R,50,Punt,Downed,,,,,,,4,
127,S,,,,,,,,,,,,,4,
128,S,,,,,,,,,,,,,4,
129,S,,,,,,,,,,,,,4,
130,D,1,10,L,-8,Run,Rush,,,L,,,,4,8
131,D,2,2,L,-16,Run,Rush,IOWA BLACK,,R,,,,4,-3
132,D,3,5,M,-13,Run,Rush,IOWA BLACK,,R,,,,4,-7
133,D,4,12,M,-6,Run,Safety,WISCONSIN RED,,R,,,,4,0
134,K,,,M,-20,KO Rec,Return,,,,,,,4,
135,O,1,10,L,45,Run,Rush,Wyoming brown,,L,,,,4,4
136,O,2,6,L,41,Run,Rush,Wyoming brown,,L,,,,4,8
137,S,,,,,,,Twins Split,,,,,,4,
