clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 025.mp4,8425,,,DEFENSE,SLOT,Nickel/Slot,0.073,False,False,0.234,Elite,,0.121,Elite
End Zone - Clip 025.mp4,8439,,,DEFENSE,LB,WILL (weak),0.132,True,False,0.200,Elite,,,Elite
End Zone - Clip 025.mp4,8478,,,DEFENSE,LB,WILL (weak),0.066,True,False,0.100,Elite,,,Elite
End Zone - Clip 025.mp4,8513,,,DEFENSE,CB,Off (5-7 yards),0.103,False,False,0.234,Elite,,0.103,Elite
End Zone - Clip 026.mp4,8840,,,DEFENSE,SLOT,Nickel/Slot,0.136,False,False,0.500,Below Average,,0.008,Below Average
End Zone - Clip 026.mp4,8478,,,DEFENSE,LB,MIKE (middle),0.070,True,False,0.100,Elite,,,Elite
End Zone - Clip 027.mp4,9186,,,DEFENSE,UNKNOWN,,0.170,False,False,0.634,Below Average,,,Below Average
End Zone - Clip 027.mp4,9147,,,DEFENSE,LB,WILL (weak),0.093,True,False,0.267,Above Average,,,Above Average
End Zone - Clip 027.mp4,8969,,,DEFENSE,LB,WILL (weak),0.062,True,False,0.167,Elite,,,Elite
End Zone - Clip 027.mp4,9241,,,DEFENSE,LB,MIKE (middle),0.037,True,False,0.200,Elite,,,Elite
End Zone - Clip 027.mp4,9299,,,DEFENSE,EDGE,OLB (up),0.039,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 027.mp4,9358,,,DEFENSE,LB,WILL (weak),0.050,True,False,0.200,Elite,,,Elite
End Zone - Clip 028.mp4,9587,,,DEFENSE,DL,1-tech,0.014,True,True,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,9594,,,DEFENSE,EDGE,DE (down),0.015,True,True,0.100,Elite,,,Elite
End Zone - Clip 028.mp4,9396,,,DEFENSE,DL,0-tech (Nose),0.009,True,True,0.033,Elite,0.005,,Elite
End Zone - Clip 028.mp4,9621,,,DEFENSE,UNKNOWN,,0.189,True,False,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,9626,,,DEFENSE,DL,1-tech,0.008,True,True,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,9631,,,DEFENSE,LB,WILL (weak),0.137,True,False,0.934,Developmental,,,Below Average
End Zone - Clip 028.mp4,9672,,,DEFENSE,DL,3-tech,0.009,True,True,,,,,Average
End Zone - Clip 028.mp4,9694,,,DEFENSE,EDGE,OLB (up),0.030,False,False,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,9739,,,DEFENSE,SLOT,Nickel/Slot,0.051,False,False,0.033,Elite,,0.199,Elite
End Zone - Clip 028.mp4,9744,,,DEFENSE,EDGE,DE (down),0.013,False,True,0.067,Elite,,,Elite
End Zone - Clip 028.mp4,9755,,,DEFENSE,EDGE,OLB (up),0.041,False,False,,,,,Average
End Zone - Clip 029.mp4,9917,,,DEFENSE,DL,1-tech,0.020,True,True,0.133,Elite,,,Elite
End Zone - Clip 029.mp4,9974,,,DEFENSE,SLOT,Nickel/Slot,0.078,False,False,0.767,Developmental,,0.006,Below Average
End Zone - Clip 029.mp4,9977,,,DEFENSE,DL,5-tech,0.007,True,True,0.300,Average,,,Average
End Zone - Clip 029.mp4,9978,,,DEFENSE,DL,0-tech (Nose),0.026,True,True,0.767,Developmental,0.021,,Below Average
End Zone - Clip 029.mp4,9980,,,DEFENSE,DL,3-tech,0.007,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 029.mp4,9992,,,DEFENSE,EDGE,DE (down),0.002,False,True,0.267,Above Average,0.002,,Above Average
End Zone - Clip 029.mp4,10025,,,DEFENSE,DL,5-tech,0.035,True,False,,,0.032,,Average
End Zone - Clip 029.mp4,10034,,,DEFENSE,EDGE,DE (down),0.002,False,True,0.534,Below Average,0.000,,Below Average
End Zone - Clip 029.mp4,10040,,,DEFENSE,DL,1-tech,0.029,True,True,0.534,Below Average,,,Below Average
End Zone - Clip 030.mp4,9974,,,DEFENSE,CB,Off (5-7 yards),0.103,False,False,0.267,Above Average,,0.020,Above Average
End Zone - Clip 030.mp4,10042,,,DEFENSE,EDGE,DE (down),0.018,True,True,0.100,Elite,0.030,,Elite
End Zone - Clip 030.mp4,10035,,,DEFENSE,EDGE,DE (down),0.019,False,True,0.067,Elite,,,Elite
End Zone - Clip 030.mp4,10110,,,DEFENSE,CB,Deep,0.155,False,False,2.769,Developmental,,0.001,Below Average
End Zone - Clip 030.mp4,9917,,,DEFENSE,DL,3-tech,0.024,True,True,0.968,Developmental,,,Below Average
End Zone - Clip 030.mp4,10130,,,DEFENSE,DL,5-tech,0.009,True,True,0.133,Elite,,,Elite
End Zone - Clip 030.mp4,10136,,,DEFENSE,EDGE,DE (down),0.013,True,True,0.100,Elite,0.038,,Elite
End Zone - Clip 030.mp4,10174,,,DEFENSE,LB,MIKE (middle),0.040,True,False,0.434,Average,,,Average
End Zone - Clip 030.mp4,10218,,,DEFENSE,DL,1-tech,0.005,True,True,0.200,Above Average,0.035,,Above Average
End Zone - Clip 030.mp4,10238,,,DEFENSE,LB,WILL (weak),0.032,True,False,0.634,Below Average,,,Below Average
End Zone - Clip 031.mp4,9917,,,DEFENSE,LB,SAM (strong),0.061,True,False,0.033,Elite,,,Elite
End Zone - Clip 031.mp4,10332,,,DEFENSE,UNKNOWN,,0.157,True,False,0.033,Elite,,,Elite
End Zone - Clip 031.mp4,10340,,,DEFENSE,LB,WILL (weak),0.120,True,False,0.033,Elite,,,Elite
End Zone - Clip 031.mp4,10366,,,DEFENSE,DL,3-tech,0.012,True,True,0.033,Elite,,,Elite
End Zone - Clip 031.mp4,10483,,,DEFENSE,EDGE,OLB (up),0.042,True,False,0.601,Developmental,,,Below Average
End Zone - Clip 032.mp4,10665,,,DEFENSE,UNKNOWN,,0.173,True,False,0.300,Above Average,,,Above Average
End Zone - Clip 032.mp4,10666,,,DEFENSE,DL,3-tech,0.027,True,True,0.133,Elite,,,Elite
