clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 033.mp4,14261,,,DEFENSE,LB,WILL (weak),0.116,True,False,,,,,Average
End Zone - Clip 034.mp4,14448,,,DEFENSE,DL,5-tech,0.157,True,False,0.033,Elite,,,Elite
End Zone - Clip 034.mp4,14557,,,DEFENSE,EDGE,DE (down),0.237,False,False,,,,,Average
End Zone - Clip 034.mp4,14568,,,DEFENSE,EDGE,DE (down),0.242,False,False,0.167,Elite,,,Elite
End Zone - Clip 034.mp4,14624,,,DEFENSE,LB,MIKE (middle),0.042,True,False,0.033,Elite,,,Elite
End Zone - Clip 034.mp4,14777,,,DEFENSE,EDGE,DE (down),0.207,True,False,0.367,Average,,,Average
End Zone - Clip 034.mp4,14782,25,,DEFENSE,DL,3-tech,0.349,True,False,,,,,Average
End Zone - Clip 034.mp4,14785,,,DEFENSE,DL,5-tech,0.238,True,False,0.067,Elite,0.118,,Elite
End Zone - Clip 034.mp4,14783,52,,DEFENSE,EDGE,DE (down),0.292,False,False,0.167,Elite,0.272,,Elite
End Zone - Clip 034.mp4,14791,,,DEFENSE,EDGE,DE (down),0.130,False,False,0.267,Above Average,0.082,,Above Average
End Zone - Clip 034.mp4,14797,,,DEFENSE,EDGE,DE (down),0.250,False,False,0.267,Above Average,0.170,,Elite
End Zone - Clip 034.mp4,14796,,,DEFENSE,DL,0-tech (Nose),0.251,True,False,0.033,Elite,,,Elite
End Zone - Clip 034.mp4,14808,29,,DEFENSE,EDGE,DE (down),0.255,False,False,0.133,Elite,,,Elite
End Zone - Clip 034.mp4,14812,,,DEFENSE,EDGE,DE (down),0.242,False,False,,,,,Average
End Zone - Clip 035.mp4,15413,,,DEFENSE,LB,SAM (strong),0.099,True,False,0.067,Elite,,,Elite
End Zone - Clip 035.mp4,15414,,,DEFENSE,LB,MIKE (middle),0.048,True,False,0.167,Elite,,,Elite
End Zone - Clip 035.mp4,15436,,,DEFENSE,EDGE,OLB (up),0.042,False,False,0.067,Elite,,,Elite
End Zone - Clip 035.mp4,15447,,,DEFENSE,LB,WILL (weak),0.044,True,False,0.067,Elite,,,Elite
End Zone - Clip 035.mp4,15471,,,DEFENSE,LB,MIKE (middle),0.090,True,False,0.167,Elite,,,Elite
End Zone - Clip 035.mp4,15476,,,DEFENSE,LB,WILL (weak),0.054,True,False,0.067,Elite,,,Elite
End Zone - Clip 035.mp4,15500,,,DEFENSE,EDGE,OLB (up),0.038,True,False,0.133,Elite,,,Elite
End Zone - Clip 035.mp4,15501,,,DEFENSE,UNKNOWN,,0.173,True,False,0.033,Elite,,,Elite
End Zone - Clip 036.mp4,15935,,,DEFENSE,LB,MIKE (middle),0.111,True,False,0.033,Elite,,,Elite
