clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 015.mp4,5710,,,DEFENSE,CB,Off (5-7 yards),0.106,False,False,,,,0.006,Average
End Zone - Clip 016.mp4,6018,,,DEFENSE,LB,WILL (weak),0.145,True,False,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,6019,,,DEFENSE,EDGE,DE (down),0.007,False,True,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,6025,,,DEFENSE,DL,0-tech (Nose),0.004,True,True,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,6046,,,DEFENSE,DL,3-tech,0.014,True,True,0.033,Elite,,,Elite
End Zone - Clip 016.mp4,6088,,,DEFENSE,EDGE,DE (down),0.010,True,True,0.067,Elite,,,Elite
End Zone - Clip 016.mp4,6106,,,DEFENSE,DL,1-tech,0.012,True,True,0.100,Elite,,,Elite
End Zone - Clip 017.mp4,6383,,,DEFENSE,DL,0-tech (Nose),0.010,True,True,0.167,Elite,0.019,,Elite
End Zone - Clip 017.mp4,6387,,,DEFENSE,DL,0-tech (Nose),0.027,True,True,0.534,Below Average,,,Below Average
End Zone - Clip 017.mp4,6425,,,DEFENSE,DL,5-tech,0.003,True,True,0.300,Average,0.001,,Average
End Zone - Clip 017.mp4,6465,,,DEFENSE,CB,Deep,0.150,False,False,1.134,Developmental,,0.003,Below Average
End Zone - Clip 017.mp4,6478,,,DEFENSE,EDGE,DE (down),0.002,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 017.mp4,6518,,,DEFENSE,DL,0-tech (Nose),0.026,True,True,0.167,Elite,,,Elite
End Zone - Clip 017.mp4,6525,,,DEFENSE,EDGE,DE (down),0.001,True,True,0.133,Elite,0.009,,Elite
End Zone - Clip 017.mp4,6528,,,DEFENSE,DL,1-tech,0.027,True,True,0.734,Developmental,,,Below Average
End Zone - Clip 018.mp4,6481,,,DEFENSE,EDGE,DE (down),0.026,True,True,0.133,Elite,,,Elite
End Zone - Clip 018.mp4,6532,,,DEFENSE,EDGE,DE (down),0.016,True,True,,,,,Average
End Zone - Clip 018.mp4,6562,,,DEFENSE,DL,3-tech,0.008,True,True,0.100,Elite,,,Elite
End Zone - Clip 019.mp4,6776,,,DEFENSE,DL,5-tech,0.016,True,True,0.167,Elite,,,Elite
End Zone - Clip 019.mp4,6748,,,DEFENSE,DL,3-tech,0.027,True,True,,,,,Average
End Zone - Clip 019.mp4,6851,,,DEFENSE,SLOT,Nickel/Slot,0.118,False,False,0.033,Elite,,0.015,Elite
End Zone - Clip 019.mp4,6862,,,DEFENSE,DL,3-tech,0.068,True,False,,,,,Average
End Zone - Clip 019.mp4,6902,,,DEFENSE,DL,0-tech (Nose),0.003,True,True,,,,,Average
End Zone - Clip 019.mp4,6938,,,DEFENSE,DL,1-tech,0.006,True,True,0.167,Elite,,,Elite
End Zone - Clip 019.mp4,6947,,,DEFENSE,DL,0-tech (Nose),0.066,True,False,,,,,Average
End Zone - Clip 020.mp4,7345,,,DEFENSE,LB,WILL (weak),0.076,True,False,,,,,Average
End Zone - Clip 020.mp4,7432,,,DEFENSE,S,Deep half,0.350,False,False,,,,,Average
End Zone - Clip 020.mp4,7439,,,DEFENSE,LB,SAM (strong),0.117,True,False,,,,,Average
End Zone - Clip 020.mp4,7467,,,DEFENSE,LB,WILL (weak),0.124,True,False,0.133,Elite,,,Elite
End Zone - Clip 020.mp4,7484,,,DEFENSE,SLOT,Nickel/Slot,0.052,False,False,0.200,Elite,,0.113,Elite
End Zone - Clip 020.mp4,7485,,,DEFENSE,CB,Deep,0.160,False,False,,,,,Average
End Zone - Clip 020.mp4,7490,,,DEFENSE,LB,WILL (weak),0.102,True,False,0.434,Average,,,Average
End Zone - Clip 020.mp4,7494,,,DEFENSE,CB,Press,0.075,False,False,,,,,Average
End Zone - Clip 021.mp4,7769,,,DEFENSE,EDGE,DE (down),0.104,True,False,0.133,Elite,,,Elite
End Zone - Clip 021.mp4,7824,,,DEFENSE,LB,WILL (weak),0.112,True,False,0.067,Elite,,,Elite
End Zone - Clip 021.mp4,7826,,,DEFENSE,EDGE,DE (down),0.122,False,False,0.133,Elite,,,Elite
End Zone - Clip 021.mp4,7833,,,DEFENSE,DL,5-tech,0.060,True,False,0.200,Above Average,,,Above Average
End Zone - Clip 021.mp4,7951,,,DEFENSE,EDGE,DE (down),0.096,False,False,0.167,Elite,,,Elite
End Zone - Clip 021.mp4,7981,,,DEFENSE,EDGE,DE (down),0.124,False,False,,,,,Average
End Zone - Clip 021.mp4,8005,,,DEFENSE,EDGE,DE (down),0.083,False,False,0.067,Elite,,,Elite
End Zone - Clip 021.mp4,8011,,,DEFENSE,EDGE,DE (down),0.101,True,False,0.067,Elite,,,Elite
End Zone - Clip 021.mp4,8013,,,DEFENSE,EDGE,DE (down),0.114,True,False,,,,,Average
