DN,DIST,PLAY TYPE,RESULT,GN/LS,ODK,YARD LN,HASH,SERIES,OFF STR,OFF FORM,OFF PLAY,PLAY DIR,GAP,DEF STR,DEF FRONT,BLITZ,COVERAGE,KICK YARDS,RET YARDS,PENALTY,2 MIN,TEAM,OPP TEAM,PLAY #,QTR,PASS ZONE,PERSONNEL,MOTION,MOTION DIR,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,TACKLER1_Jersey,TACKLER1_Name,TACKLER2_Jersey,TACKLER2_Name,RUSHER_Jersey,RUSHER_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,BACKFIELD,EFF,RETURNER_Jersey,RETURNER_Name,KICKER_Jersey,KICKER_Name,RECOVERED BY_Jersey,RECOVERED BY_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,OPP RUSHER,OPP PASSER,OPP RECEIVER,OPP TACKLER1,OPP TACKLER2,OPP RETURNER,OPP KICKER,OPP RECOVERED BY,OPP INTERCEPTED BY,PROTECTION,TAG,NOTE,COMMENT,STR CALL,WK CALL,DRILL,STUNT,BALL CARRIER,STR ROUTES,WK ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD / BOUNDARY,Y/N,DUG BACKFIELD,DUG FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION STRENGTH,FSL,SHIFT,RUN STRENGTH,PASS ROUTE,PASS CHART,PASS RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN YARDS,POSITIVE,CRITICISM,OFFENSIVE FORMATIONS
2,23,Pass,Complete,12,D,-47,M,3,BAL,IOWA BLACK,,R,,,,,,,,,,,,41,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,,Penalty,-5,D,41,R,3,,,,,,,,,,,,,,,,42,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,Pass,Complete,0,D,46,R,3,L,,,L,,,,,,,,,,,,43,2,,,,L,,,,,,,,,,,,,,Y,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,Run,"Rush, TD",46,D,46,L,3,BAL,DBL TE,,R,,,,,,,,,,,,44,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Extra Pt. Block,No Good,,K,3,M,3,,,,,,,,,,,,,,,,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KO Rec,Return,,K,-40,M,,,,,,,,,,,,,,,,,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,2,O,-36,R,4,L,Wyoming brown,,L,,,,,,,,,,,,47,2,,,,,,,,,,,,,20,Aiden O'Neal,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,Run,Rush,5,O,-38,M,4,L,Wyoming brown,,R,,,,,,,,,,,,48,2,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Run,Rush,4,O,-43,M,4,L,Wyoming brown,,R,,,,,,,,,,,,49,2,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,10,O,-47,R,4,L,Wyoming brown,,L,,,,,,,,,,,,50,2,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,0,O,43,L,4,L,Wyoming brown,,L,,,,,,,,,,,,51,2,,,,,,,,,,,,,8,Jayvyn Gilchrist,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,Run,Rush,16,O,43,L,4,L,WISCONSIN RED,,L,,,,,,,,,,,,52,2,,,,L,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,5,O,27,L,4,R,WISCONSIN RED,,R,,,,,,,,,,,,53,2,,,,,,,,,,,,,32,Jayce williams,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Run,Rush,-2,O,22,L,4,R,WISCONSIN RED,,R,,,,,,,,,,,,54,2,,,,,,,,,,,,,32,Jayce williams,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Pass,Incomplete,0,O,24,M,4,L,WISCONSIN RED,,L,,,,,,,,,,,,55,2,,,,,8,Jayvyn Gilchrist,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,,Timeout,0,O,24,M,4,R,FLA. BLUE,,,,,,,,,,,,,,56,2,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,Pass,Sack,2,O,24,M,4,L,FLA. BLUE,,L,,,,,,,,,,,,57,2,,,,,8,Jayvyn Gilchrist,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,Penalty,-5,D,-32,M,4,R,WISCONSIN RED,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,Run,Rush,-4,D,-27,M,4,R,WISCONSIN RED,,R,,,,,,,,,,,,59,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,Run,Rush,0,D,-23,M,4,R,WISCONSIN RED,,R,,,,,,,,,,,,60,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,S,,,,,,,,,,,,,,,,,,,61,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,Run,Penalty,-10,D,-23,R,4,L,Twins Split,,L,,,,,,,,,,,,62,2,,,,,,,,,,,,,,,,,,Y,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
