clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,328,,,,michigan,MICHIGAN,,,,,,,0.217,,5043.0,Average
ricky_powers_michigan.mp4,329,,,,michigan,MICHIGAN,,,,,,,1.140,,5227.0,Average
ricky_powers_michigan.mp4,330,,,,michigan,MICHIGAN,,,,,,,0.023,,5004.0,Average
ricky_powers_michigan.mp4,334,,,,michigan,MICHIGAN,,,,,,,0.051,,5010.0,Average
ricky_powers_michigan.mp4,337,,,,michigan,MICHIGAN,,,,,,,0.181,,5036.0,Average
ricky_powers_michigan.mp4,338,,,,michigan,MICHIGAN,,,,,,,0.035,,5006.0,Average
ricky_powers_michigan.mp4,339,,,,michigan,MICHIGAN,,,,,,,0.934,,5186.0,Average
ricky_powers_michigan.mp4,340,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,341,,,,michigan,MICHIGAN,,,,,,,0.201,,5040.0,Average
ricky_powers_michigan.mp4,342,,,,michigan,MICHIGAN,,,,,,,0.094,,5018.0,Average
ricky_powers_michigan.mp4,345,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,347,,,,michigan,MICHIGAN,,,,,,,0.045,,5009.0,Average
ricky_powers_michigan.mp4,348,,,,michigan,MICHIGAN,,,,,,,0.113,,5022.0,Average
ricky_powers_michigan.mp4,349,,,,michigan,MICHIGAN,,,,,,,0.140,,5028.0,Average
ricky_powers_michigan.mp4,350,,,,michigan,MICHIGAN,,,,,,,0.065,,5013.0,Average
ricky_powers_michigan.mp4,353,,,,michigan,MICHIGAN,,,,,,,0.071,,5014.0,Average
ricky_powers_michigan.mp4,354,,,,michigan,MICHIGAN,,,,,,,0.091,,5018.0,Average
ricky_powers_michigan.mp4,356,,,,michigan,MICHIGAN,,,,,,,0.001,,5000.0,Average
ricky_powers_michigan.mp4,357,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,360,,,,michigan,MICHIGAN,,,,,,,0.042,,5008.0,Average
ricky_powers_michigan.mp4,362,,,,michigan,MICHIGAN,,,,,,,0.154,,5030.0,Average
ricky_powers_michigan.mp4,369,,,,michigan,MICHIGAN,,,,,,,0.015,,5003.0,Average
ricky_powers_michigan.mp4,375,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,378,,,,michigan,MICHIGAN,,,,,,,0.162,,5032.0,Average
ricky_powers_michigan.mp4,381,,,,michigan,MICHIGAN,,,,,,,0.076,,5015.0,Average
ricky_powers_michigan.mp4,382,,,,michigan,MICHIGAN,,,,,,,0.186,,5037.0,Average
ricky_powers_michigan.mp4,389,,,,michigan,MICHIGAN,,,,,,,0.040,,5007.0,Average
ricky_powers_michigan.mp4,394,,,,michigan,MICHIGAN,,,,,,,0.015,,5003.0,Average
ricky_powers_michigan.mp4,396,,,,michigan,MICHIGAN,,,,,,,0.100,,5019.0,Average
ricky_powers_michigan.mp4,397,,,,michigan,MICHIGAN,,,,,,,0.105,,5021.0,Average
ricky_powers_michigan.mp4,398,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,401,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,408,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,409,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,414,,,,michigan,MICHIGAN,,,,,,,0.136,,5027.0,Average
ricky_powers_michigan.mp4,419,,,,michigan,MICHIGAN,,,,,,,0.040,,5008.0,Average
ricky_powers_michigan.mp4,427,,,,michigan,MICHIGAN,,,,,,,2.545,,5509.0,Average
ricky_powers_michigan.mp4,430,,,,michigan,MICHIGAN,,,,,,,0.237,,5047.0,Average
ricky_powers_michigan.mp4,431,,,,michigan,MICHIGAN,,,,,,,0.034,,5006.0,Average
ricky_powers_michigan.mp4,434,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,435,,,,michigan,MICHIGAN,,,,,,,0.107,,5021.0,Average
ricky_powers_michigan.mp4,437,,,,michigan,MICHIGAN,,,,,,,0.011,,5002.0,Average
ricky_powers_michigan.mp4,438,,,,michigan,MICHIGAN,,,,,,,0.118,,5023.0,Average
ricky_powers_michigan.mp4,440,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,444,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,450,,,,michigan,MICHIGAN,,,,,,,0.243,,5048.0,Average
ricky_powers_michigan.mp4,452,,,,michigan,MICHIGAN,,,,,,,0.002,,5000.0,Average
ricky_powers_michigan.mp4,454,,,,michigan,MICHIGAN,,,,,,,0.056,,5011.0,Average
ricky_powers_michigan.mp4,457,,,,michigan,MICHIGAN,,,,,,,1.597,,5319.0,Average
ricky_powers_michigan.mp4,459,,,,michigan,MICHIGAN,,,,,,,0.333,,5066.0,Average
ricky_powers_michigan.mp4,461,,,,michigan,MICHIGAN,,,,,,,0.264,,5052.0,Average
ricky_powers_michigan.mp4,467,,,,michigan,MICHIGAN,,,,,,,1.305,,5261.0,Average
ricky_powers_michigan.mp4,472,,,,michigan,MICHIGAN,,,,,,,0.529,,5105.0,Average
ricky_powers_michigan.mp4,478,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,481,,,,michigan,MICHIGAN,,,,,,,0.001,,5000.0,Average
ricky_powers_michigan.mp4,485,,,,michigan,MICHIGAN,,,,,,,0.111,,5022.0,Average
ricky_powers_michigan.mp4,491,,,,michigan,MICHIGAN,,,,,,,0.025,,5004.0,Average
ricky_powers_michigan.mp4,494,,,,michigan,MICHIGAN,,,,,,,0.076,,5015.0,Average
ricky_powers_michigan.mp4,495,,,,michigan,MICHIGAN,,,,,,,0.204,,5040.0,Average
ricky_powers_michigan.mp4,496,,,,michigan,MICHIGAN,,,,,,,0.286,,5057.0,Average
ricky_powers_michigan.mp4,499,,,,michigan,MICHIGAN,,,,,,,0.121,,5024.0,Average
ricky_powers_michigan.mp4,509,,,,michigan,MICHIGAN,,,,,,,0.070,,5013.0,Average
ricky_powers_michigan.mp4,515,,,,michigan,MICHIGAN,,,,,,,0.299,,5059.0,Average
